movie_name,release_date,tomato_score,audience_score,rating,genre,directors,writers,box_office,runtime,studio,cast,characters
Iron Man,"Apr 14, 2008",94,91,PG-13,"['Action & Adventure', 'Science Fiction & Fantasy']",['Jon Favreau'],"['Matthew Hollaway', 'Mark Fergus', 'Hawk Ostby', 'Art Marcum', 'Matt Holloway']","318,298,180",126,Paramount Pictures,"['Robert Downey Jr.', 'Terrence Howard', 'Jeff Bridges', 'Gwyneth Paltrow', 'Leslie Bibb']","['Tony Stark', 'Rhodey', 'Obadiah Stane', 'Pepper Potts', 'Christine Everhart']"
The Incredible Hulk,"Jun 12, 2008",67,71,PG-13,"['Action & Adventure', 'Science Fiction & Fantasy']",['Louis Leterrier'],['Zak Penn'],"134,518,390",112,Universal Pictures,"['Edward Norton', 'Liv Tyler', 'Tim Roth', 'William Hurt', 'Tim Blake Nelson']","['Bruce Banner', 'Betty Ross', 'Emil Blonsky', ""Gen. Thaddeus 'Thunderbolt' Ross"", 'Samuel Sterns']"
Iron Man 2,"May 7, 2010",73,72,PG-13,"['Action & Adventure', 'Science Fiction & Fantasy']",['Jon Favreau'],['Justin Theroux'],"312,057,433",124,Paramount Studios,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Mickey Rourke', 'Sam Rockwell']","['Tony Stark', ""Virginia 'Pepper' Potts"", ""Colonel James 'Rhodey' Rhodes"", 'Ivan Vanko/Whiplash', 'Justin Hammer']"
Thor,"May 6, 2011",77,76,PG-13,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",['Kenneth Branagh'],"['Zack Stentz', 'Ashley Edward Miller', 'Mark Protosevich', 'Don Payne']","181,015,141",115,Paramount Pictures,"['Chris Hemsworth', 'Natalie Portman', 'Anthony Hopkins', 'Tom Hiddleston', 'Stellan Skarsgard']","['Thor', 'Jane Foster', 'Odin', 'Loki', 'Professor Andrews']"
Captain America: The First Avenger,"Jul 22, 2011",80,74,PG-13,"['Action & Adventure', 'Mystery & Suspense']",['Joe Johnston'],"['Christopher Markus', 'Stephen McFeely']","176,636,816",124,Paramount Pictures,"['Chris Evans', 'Tommy Lee Jones', 'Hugo Weaving', 'Hayley Atwell', 'Sebastian Stan']","['Captain America/Steve Rogers', 'Colonel Chester Phillips', 'Johann Schmidt/Red Skull', 'Peggy Carter', 'James Buchanan ""Bucky"" Barnes']"
Marvel's The Avengers,"May 4, 2012",92,91,PG-13,"['Action & Adventure', 'Science Fiction & Fantasy']",['Joss Whedon'],['Joss Whedon'],"623,279,547",142,Walt Disney Pictures,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson']","['Tony Stark/Iron Man', 'Steve Rogers/Captain America', 'Bruce Banner/The Hulk', 'Thor', 'Natasha Romanoff/Black Widow']"
Iron Man 3,"May 3, 2013",80,78,PG-13,"['Action & Adventure', 'Science Fiction & Fantasy']",['Shane Black'],"['Drew Pearce', 'Shane Black']","408,992,272",109,Walt Disney Pictures,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'James Badge Dale']","['Tony Stark', 'Pepper Potts', 'Colonel James Rhodes', 'Aldrich Killian', 'Savin']"
Thor: The Dark World,"Nov 8, 2013",66,77,PG-13,"['Action & Adventure', 'Science Fiction & Fantasy']",['Alan Taylor'],"['Christopher Yost', 'Christopher Markus', 'Stephen McFeely']","206,360,018",112,Walt Disney Pictures,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgard', 'Idris Elba']","['Thor', 'Jane Foster', 'Loki', 'Dr. Erik Selvig', 'Heimdall']"
Captain America: The Winter Soldier,"Apr 4, 2014",89,92,PG-13,"['Action & Adventure', 'Science Fiction & Fantasy']","['Joe Russo', 'Anthony Russo']","['Stephen McFeely', 'Christopher Markus']","228,636,083",136,Walt Disney Pictures,"['Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Anthony Mackie', 'Sebastian Stan']","['Captain America/Steve Rogers', 'Nick Fury', 'Natasha Romanoff/Black Widow', 'Sam Wilson/Falcon', 'Bucky Barnes/Winter Soldier']"
error,"Aug 1, 2014",91,92,PG-13,"['Action & Adventure', 'Science Fiction & Fantasy']",['James Gunn (II)'],"['Nicole Perlman', 'James Gunn (II)']","270,592,504",121,Walt Disney Pictures,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Lee Pace', 'Bradley Cooper']","['Peter Quill/Star-Lord', 'Gamora', 'Drax', 'Ronan the Accuser', 'Rocket Raccoon']"
